feedback_id,user_id,feedback,created_at
3,18,hhhhhh,2025-11-30 23:41:41.460614+00
4,18,ghgh,2025-12-09 16:37:06.961993+00
5,18,feedback 1,2025-12-09 17:08:31.41282+00
6,39,Maybe the logo top-left could be slightly bigger?,2025-12-12 15:24:36.585591+00
7,41,Het zou leuk zijn moest ik op de groepen zelf al kunnen zijn als ik ergens een schuld heb of niet?,2025-12-12 15:26:37.244267+00
8,40,Misschien een aankondiging (alvorens een groep aan te maken) dat dit een fee zal vergen? Zou velerlei negatieve consequenties kunnen geven indien niet duidelijk aangegeven.,2025-12-12 15:37:00.774963+00
9,18,good!,2025-12-15 18:37:21.340157+00
10,48,Misschien darkmode ook mogelijk maken voor gehele layout van de app?,2025-12-17 09:37:54.935815+00
